count_point_id,year,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,estimation_method,estimation_method_detailed,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
80280,2018,3,Scotland,3,"Glasgow City",A763,Major,"LA Boundary",M74,264750,662000,55.83222000,-4.16093720,1.20,0.75,Estimated,"Estimated using previous year's AADF on this link",32,33,13177,67,3893,506,154,231,17,54,81,1044,18213
82045,2018,3,Scotland,3,"Glasgow City",M8,Major,M74,"Seaward Street",257381,664134,55.84925600,-4.27960830,0.40,0.25,Counted,"Automatic counter",0,53,12638,65,2633,467,94,103,70,343,687,1764,17153
82086,2018,3,Scotland,3,"Glasgow City",A8,Major,"Eglinton Street","Tradeston Street",258486,664299,55.85106300,-4.26205990,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",14,32,9262,10,1886,107,11,0,0,0,0,118,11309
80448,2018,3,Scotland,3,"Glasgow City",A814,Major,A814,"M8 Slips",257600,665340,55.86014800,-4.27674670,0.40,0.25,Estimated,"Estimated using previous year's AADF on this link",1,234,39068,398,8159,595,110,277,36,30,427,1475,49333
80278,2018,3,Scotland,3,"Glasgow City",A8,Major,A80,"B765 Stepps Road",265000,665350,55.86236800,-4.15861620,2.80,1.74,Estimated,"Estimated using previous year's AADF on this link",49,29,6506,219,1176,148,36,9,5,11,3,213,8142
82011,2018,3,Scotland,3,"Glasgow City",M74,Major,A74,A74,264081,662392,55.83555100,-4.17180600,0.90,0.56,Counted,"Automatic counter",0,204,47424,452,9384,1903,420,420,287,1682,3421,8133,65597
82020,2018,3,Scotland,3,"Glasgow City",M74,Major,M74,A763,264985,662383,55.83572400,-4.15737870,0.40,0.25,Estimated,"Estimated using previous year's AADF on this link",0,18,4167,40,825,167,37,37,25,148,301,715,5764
80368,2018,3,Scotland,3,"Glasgow City",A814,Major,A741,Kingsway,252000,668140,55.88359800,-4.36766550,1.10,0.68,Counted,"Manual count",76,39,15072,548,2639,205,49,31,17,73,15,390,18687
82074,2018,3,Scotland,3,"Glasgow City",A89,Major,A8,A728,260500,664770,55.85587900,-4.23015890,2.30,1.43,Estimated,"Estimated using previous year's AADF on this link",131,28,6380,517,955,80,14,5,0,1,3,103,7984
74416,2018,3,Scotland,3,"Glasgow City",A74,Major,"LA Boundary","M74 jn3",267990,662330,55.83608000,-4.10940860,0.50,0.31,Estimated,"Estimated using previous year's AADF on this link",58,40,17749,208,3768,424,115,136,77,88,116,956,22721
31022,2018,3,Scotland,3,"Glasgow City",A739,Major,A761,M8,253400,664000,55.84686000,-4.34306500,1.20,0.75,Estimated,"Estimated using previous year's AADF on this link",38,36,12268,272,1541,206,57,8,24,5,6,306,14423
40850,2018,3,Scotland,3,"Glasgow City",A89,Major,A8,M73,268750,664240,55.85343700,-4.09820670,1.20,0.75,Estimated,"Estimated using previous year's AADF on this link",52,22,5771,128,1378,101,14,9,0,2,6,132,7431
