count_point_id,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles
80585,3,Scotland,3,"Glasgow City",M77,Major,1,M8,256000,663540,55.84351472,-4.30133173,1.80,1.12
80505,3,Scotland,3,"Glasgow City",M80,Major,2,"LA Boundary",264300,668810,55.89323700,-4.17152610,1.20,0.75
80504,3,Scotland,3,"Glasgow City",M80,Major,1,2,263000,667500,55.88110700,-4.19163380,3.00,1.86
80448,3,Scotland,3,"Glasgow City",A814,Major,A814,"M8 Slips",257600,665340,55.86014800,-4.27674670,0.40,0.25
80447,3,Scotland,3,"Glasgow City",M8,Major,M8,M8,258000,665116,55.85825500,-4.27024410,0.20,0.12
80446,3,Scotland,3,"Glasgow City",M8,Major,A8,"M8 Slips",258000,664720,55.85470000,-4.27003660,0.50,0.31
80445,3,Scotland,3,"Glasgow City",M8,Major,A814,M8,257909,665335,55.86019500,-4.27181140,0.60,0.37
80444,3,Scotland,3,"Glasgow City",M8,Major,M8,"Waterloo Street",258232,665400,55.86087300,-4.26668930,0.50,0.31
80443,3,Scotland,3,"Glasgow City",M8,Major,M8,"Pitt Street",258206,665520,55.86194300,-4.26716710,0.50,0.31
80442,3,Scotland,3,"Glasgow City",M8,Major,A814,M8,257957,665240,55.85935600,-4.27099540,0.40,0.25
80441,3,Scotland,3,"Glasgow City",A814,Major,"M8 Slips",A804,257910,665290,55.85979100,-4.27177190,0.30,0.19
80368,3,Scotland,3,"Glasgow City",A814,Major,A741,Kingsway,252000,668140,55.88359800,-4.36766550,1.10,0.68
80283,3,Scotland,3,"Glasgow City",A728,Major,B762/B766,"B768 Prospecthill Road",259115,661000,55.82162900,-4.25030910,0.90,0.56
80282,3,Scotland,3,"Glasgow City",A77,Major,"LA Boundary","B768 Langside Avenue",257180,662000,55.83003800,-4.28169300,2.20,1.37
80281,3,Scotland,3,"Glasgow City",A77,Major,"B763 Nithsdale Drive",A8,258450,663500,55.84388094,-4.26221757,1.70,1.06
80280,3,Scotland,3,"Glasgow City",A763,Major,"LA Boundary",M74,264750,662000,55.83222000,-4.16093720,1.20,0.75
80279,3,Scotland,3,"Glasgow City",A74,Major,"B763 Dunn Street",A749,261000,664000,55.84911176,-4.22178332,0.70,0.43
80278,3,Scotland,3,"Glasgow City",A8,Major,A80,"B765 Stepps Road",265000,665350,55.86236800,-4.15861620,2.80,1.74
80237,3,Scotland,3,"Glasgow City",A74,Major,A763,"Fullarton Road roundabout",264449,662386,55.83560100,-4.16593180,0.80,0.50
80215,3,Scotland,3,"Glasgow City",A80,Major,M8,"LA Boundary",264900,667800,55.88433700,-4.16143490,2.20,1.37
80212,3,Scotland,3,"Glasgow City",A8,Major,"B765 Stepps Road",A89,266000,665240,55.86165900,-4.14259630,3.40,2.11
78667,3,Scotland,3,"Glasgow City",A879,Major,"B808 Hayston Street","Skirsa St",258800,668750,55.89111600,-4.25936880,1.40,0.87
78653,3,Scotland,3,"Glasgow City",A74,Major,A763,"B7058 Mount Vernon Avenue",265500,662600,55.83781700,-4.14926970,1.70,1.06
77420,3,Scotland,3,"Glasgow City",A752,Major,"LA Boundary","LA boundary",270015,665290,55.86320800,-4.07851760,1.00,0.62
77114,3,Scotland,3,"Glasgow City",A763,Major,M74,A74,264810,662400,55.83582800,-4.16017920,0.10,0.06
77100,3,Scotland,3,"Glasgow City",A803,Major,A8,A804,260250,666080,55.86756800,-4.23482490,0.40,0.25
77084,3,Scotland,3,"Glasgow City",A804,Major,M8,A814,257985,665205,55.85905000,-4.27053010,0.30,0.19
74430,3,Scotland,3,"Glasgow City",M74,Major,"LA Boundary",3,267960,662215,55.83504000,-4.10983130,0.40,0.25
