,RecTime,measurementSiteReference,basicDataValue.vehicleFlow
680,2021-12-02T20:21:08,GC1401_G,9
682,2021-12-02T20:21:08,GC1401_F,4
684,2021-12-02T20:21:08,GC1401_E,18
686,2021-12-02T20:21:08,GG2951_V,9
688,2021-12-02T20:21:08,GG2951_T,6
690,2021-12-02T20:21:08,GG2951_S,16
692,2021-12-02T20:21:08,GG2951_R,5
694,2021-12-02T20:21:08,GA5151_V,34
696,2021-12-02T20:21:08,GA5151_T,13
698,2021-12-02T20:21:08,GA5151_R,9
700,2021-12-02T20:21:08,GA5151_P,14
702,2021-12-02T20:21:08,GL3551_T,31
704,2021-12-02T20:21:08,GE032A_B,19
706,2021-12-02T20:21:08,GL3551_S,37
708,2021-12-02T20:21:08,GE032A_A,20
710,2021-12-02T20:21:08,GL3551_R,28
712,2021-12-02T20:21:08,GI0551_H,0
714,2021-12-02T20:21:08,GI0551_F,0
716,2021-12-02T20:21:08,GI0551_C,0
718,2021-12-02T20:21:08,GI0551_A,0
720,2021-12-02T20:21:08,GG2001_V,0
722,2021-12-02T20:21:08,GG2001_S,10
724,2021-12-02T20:21:08,GG2001_R,9
726,2021-12-02T20:21:08,GL1251_Y,0
728,2021-12-02T20:21:08,GJ3651_G,0
730,2021-12-02T20:21:08,GJ3651_E,0
732,2021-12-02T20:21:08,GJ3651_D,0
734,2021-12-02T20:21:08,GJ3651_C,0
736,2021-12-02T20:21:08,GJ3651_B,0
738,2021-12-02T20:21:08,GA1401_T,0
740,2021-12-02T20:21:08,GA1401_R,0
742,2021-12-02T20:21:08,GL1251_D,10
744,2021-12-02T20:21:08,GA183A_A,0
746,2021-12-02T20:21:08,GL1251_C,39
748,2021-12-02T20:21:08,GL1251_B,8
750,2021-12-02T20:21:08,GL1251_A,0
752,2021-12-02T20:21:08,GD210A_B,0
754,2021-12-02T20:21:08,GD210A_A,13
756,2021-12-02T20:21:08,GA4501_V,14
758,2021-12-02T20:21:08,GA4501_T,8
760,2021-12-02T20:21:08,GA4501_S,13
762,2021-12-02T20:21:08,GA4501_R,4
764,2021-12-02T20:21:08,GA2201_C,0
766,2021-12-02T20:21:08,GH2671_S,11
768,2021-12-02T20:21:08,GH2671_R,18
770,2021-12-02T20:21:08,GG225A_S,15
772,2021-12-02T20:21:08,GG225A_R,0
774,2021-12-02T20:21:08,GG268A_S,10
776,2021-12-02T20:21:08,GG268A_R,14
778,2021-12-02T20:21:08,GA5301_E,16
780,2021-12-02T20:21:08,GA5301_D,19
782,2021-12-02T20:21:08,GA5301_C,34
784,2021-12-02T20:21:08,GA1651_T,21
786,2021-12-02T20:21:08,GA5301_B,8
788,2021-12-02T20:21:08,GA1651_S,40
790,2021-12-02T20:21:08,GF2251_X,11
792,2021-12-02T20:21:08,GL1401_V,9
794,2021-12-02T20:21:08,GF2251_V,8
796,2021-12-02T20:21:08,GF2251_T,2
798,2021-12-02T20:21:08,GL1401_R,28
800,2021-12-02T20:21:08,GF2251_S,15
802,2021-12-02T20:21:08,GF2251_R,5
804,2021-12-02T20:21:08,GF2251_P,8
806,2021-12-02T20:21:08,GH2151_D,9
808,2021-12-02T20:21:08,GH2151_C,9
810,2021-12-02T20:21:08,GH2151_B,8
812,2021-12-02T20:21:08,GJ019A_T,32
814,2021-12-02T20:21:08,GH2151_A,19
816,2021-12-02T20:21:08,GD138B_P,31
818,2021-12-02T20:21:08,GJ282A_V,15
820,2021-12-02T20:21:08,GJ282A_T,11
822,2021-12-02T20:21:08,GD005A_S,14
824,2021-12-02T20:21:08,GD005A_R,25
826,2021-12-02T20:21:08,GC0151_E,18
828,2021-12-02T20:21:08,GC0151_B,16
830,2021-12-02T20:21:08,GC0151_A,18
